title,amount,severity,project,description
660,2,4,11, <br>Override "equals(Object obj)" to comply with the contract of the "compareTo(T o)" method.
665,621,2,11, <br>Move this constructor to comply with Java Code Conventions.<br>Move this variable to comply with Java Code Conventions.
667,11,2,11, <br>Move constants to a class or enum.
673,58,3,11, <br>Make ypoints a static final constant or non-public and provide accessors if needed.<br>Make statusBar a static final constant or non-public and provide accessors if needed.<br>Make buttonPanel a static final constant or non-public and provide accessors if needed.<br>Make name a static final constant or non-public and provide accessors if needed.<br>Make xpoints a static final constant or non-public and provide accessors if needed.<br>Make mask a static final constant or non-public and provide accessors if needed.<br>Make parentName a static final constant or non-public and provide accessors if needed.<br>Make scrollPane a static final constant or non-public and provide accessors if needed.<br>Make findField a static final constant or non-public and provide accessors if needed.<br>Make sval a static final constant or non-public and provide accessors if needed.<br>Make lineSepLabel a static final constant or non-public and provide accessors if needed.<br>Make npoints a static final constant or non-public and provide accessors if needed.<br>Make findLabel a static final constant or non-public and provide accessors if needed.<br>Make modeCombo a static final constant or non-public and provide accessors if needed.<br>Make heightPercentFactor a static final constant or non-public and provide accessors if needed.<br>Make charSetLabel a static final constant or non-public and provide accessors if needed.<br>Make right a static final constant or non-public and provide accessors if needed.<br>Make widthPercentFactor a static final constant or non-public and provide accessors if needed.<br>Make x a static final constant or non-public and provide accessors if needed.<br>Make replaceAndFindButton a static final constant or non-public and provide accessors if needed.<br>Make charSetCombo a static final constant or non-public and provide accessors if needed.<br>Make replaceButton a static final constant or non-public and provide accessors if needed.<br>Make bottom a static final constant or non-public and provide accessors if needed.<br>Make wrapAroundCheck a static final constant or non-public and provide accessors if needed.<br>Make nval a static final constant or non-public and provide accessors if needed.<br>Make coords a static final constant or non-public and provide accessors if needed.<br>Make keepColinear a static final constant or non-public and provide accessors if needed.<br>Make width a static final constant or non-public and provide accessors if needed.<br>Make ttype a static final constant or non-public and provide accessors if needed.<br>Make replaceScrollPane a static final constant or non-public and provide accessors if needed.<br>Make caretInfoLabel a static final constant or non-public and provide accessors if needed.<br>Make family a static final constant or non-public and provide accessors if needed.<br>Make findScrollPane a static final constant or non-public and provide accessors if needed.<br>Make left a static final constant or non-public and provide accessors if needed.<br>Make lineSepCombo a static final constant or non-public and provide accessors if needed.<br>Make optionsPanel a static final constant or non-public and provide accessors if needed.<br>Make previousButton a static final constant or non-public and provide accessors if needed.<br>Make isPreserveAspectRatio a static final constant or non-public and provide accessors if needed.<br>Make modifiers a static final constant or non-public and provide accessors if needed.<br>Make type a static final constant or non-public and provide accessors if needed.<br>Make ignoreCaseCheck a static final constant or non-public and provide accessors if needed.<br>Make nextButton a static final constant or non-public and provide accessors if needed.<br>Make y a static final constant or non-public and provide accessors if needed.<br>Make replaceField a static final constant or non-public and provide accessors if needed.<br>Make viewBox a static final constant or non-public and provide accessors if needed.<br>Make replaceLabel a static final constant or non-public and provide accessors if needed.<br>Make top a static final constant or non-public and provide accessors if needed.<br>Make numberFactor a static final constant or non-public and provide accessors if needed.<br>Make height a static final constant or non-public and provide accessors if needed.<br>Make replaceAllButton a static final constant or non-public and provide accessors if needed.
679,2,3,11, <br>Replace this usage of Sun classes by ones from the Java API.
680,158,2,11, <br>Define a constant instead of duplicating this literal "SmallSystemFont" 3 times.<br>Define a constant instead of duplicating this literal "tspan" 3 times.<br>Define a constant instead of duplicating this literal "decoration" 3 times.<br>Define a constant instead of duplicating this literal "attribute.strokeType.double" 3 times.<br>Define a constant instead of duplicating this literal "Null value not allowed for AttributeKey " 3 times.<br>Define a constant instead of duplicating this literal "visibility" 5 times.<br>Define a constant instead of duplicating this literal "javax.swing.plaf.FontUIResource" 4 times.<br>Define a constant instead of duplicating this literal "first" 6 times.<br>Define a constant instead of duplicating this literal "stroke-linecap" 3 times.<br>Define a constant instead of duplicating this literal "inline" 5 times.<br>Define a constant instead of duplicating this literal ".constraint" 3 times.<br>Define a constant instead of duplicating this literal "stroke-dashoffset" 3 times.<br>Define a constant instead of duplicating this literal "attribute.figureLinkTarget.toolTipText" 4 times.<br>Define a constant instead of duplicating this literal "visible" 8 times.<br>Define a constant instead of duplicating this literal "dataread" 4 times.<br>Define a constant instead of duplicating this literal "inherit" 7 times.<br>Define a constant instead of duplicating this literal "width" 4 times.<br>Define a constant instead of duplicating this literal "arcHeight" 3 times.<br>Define a constant instead of duplicating this literal "Element " 3 times.<br>Define a constant instead of duplicating this literal "window" 3 times.<br>Define a constant instead of duplicating this literal "toolBarIndex." 3 times.<br>Define a constant instead of duplicating this literal "stroke-miterlimit" 3 times.<br>Define a constant instead of duplicating this literal "color" 3 times.<br>Define a constant instead of duplicating this literal "shape" 3 times.<br>Define a constant instead of duplicating this literal "Plain" 3 times.<br>Define a constant instead of duplicating this literal "datafile" 4 times.<br>Define a constant instead of duplicating this literal "OptionPane.css" 5 times.<br>Define a constant instead of duplicating this literal "Quaqua.Component.visualMargin" 4 times.<br>Define a constant instead of duplicating this literal "*** Nested Exception:" 3 times.<br>Define a constant instead of duplicating this literal "width" 5 times.<br>Define a constant instead of duplicating this literal "height" 5 times.<br>Define a constant instead of duplicating this literal "fill-rule" 3 times.<br>Define a constant instead of duplicating this literal "stroke-opacity" 3 times.<br>Define a constant instead of duplicating this literal "recentFileCount" 3 times.<br>Define a constant instead of duplicating this literal "</b><p>" 4 times.<br>Define a constant instead of duplicating this literal "\" in " 3 times.<br>Define a constant instead of duplicating this literal "LazyActionMap unable to load actions " 4 times.<br>Define a constant instead of duplicating this literal "attribute.canvasWidth.toolTipText" 4 times.<br>Define a constant instead of duplicating this literal "normal" 3 times.<br>Define a constant instead of duplicating this literal "colorSliderModel" 3 times.<br>Define a constant instead of duplicating this literal "attribute.canvasHeight.toolTipText" 4 times.<br>Define a constant instead of duplicating this literal ".height" 4 times.<br>Define a constant instead of duplicating this literal "currentcolor" 3 times.<br>Define a constant instead of duplicating this literal "The test case is a prototype." 41 times.<br>Define a constant instead of duplicating this literal "short" 3 times.<br>Define a constant instead of duplicating this literal "colorComponentIndex" 3 times.<br>Define a constant instead of duplicating this literal "Owner" 3 times.<br>Define a constant instead of duplicating this literal "display" 5 times.<br>Define a constant instead of duplicating this literal "start" 3 times.<br>Define a constant instead of duplicating this literal "attribute.color.noColor" 11 times.<br>Define a constant instead of duplicating this literal "coords" 3 times.<br>Define a constant instead of duplicating this literal "stroke-linejoin" 3 times.<br>Define a constant instead of duplicating this literal "statusBarVisible" 3 times.<br>Define a constant instead of duplicating this literal "lineNumbersVisible" 3 times.<br>Define a constant instead of duplicating this literal "boolean" 3 times.<br>Define a constant instead of duplicating this literal "child must not be null" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.app.Labels" 3 times.<br>Define a constant instead of duplicating this literal "Arial Black" 3 times.<br>Define a constant instead of duplicating this literal "graphic" 5 times.<br>Define a constant instead of duplicating this literal "liner" 4 times.<br>Define a constant instead of duplicating this literal "family" 3 times.<br>Define a constant instead of duplicating this literal "ODGStylesReader unsupported <" 8 times.<br>Define a constant instead of duplicating this literal "Slider.northThumb.small" 3 times.<br>Define a constant instead of duplicating this literal "imageData" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.samples.svg.Labels" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 19 times.<br>Define a constant instead of duplicating this literal "view.toggleGrid" 4 times.<br>Define a constant instead of duplicating this literal "edit.paste.text" 3 times.<br>Define a constant instead of duplicating this literal "toolHandler" 3 times.<br>Define a constant instead of duplicating this literal "Slider.westThumb.small" 3 times.<br>Define a constant instead of duplicating this literal "attribute.color.colorChooser" 4 times.<br>Define a constant instead of duplicating this literal "needsSeparator" 4 times.<br>Define a constant instead of duplicating this literal "toolButtonGroup" 4 times.<br>Define a constant instead of duplicating this literal "arcWidth" 3 times.<br>Define a constant instead of duplicating this literal "stroke-width" 3 times.<br>Define a constant instead of duplicating this literal "> element." 4 times.<br>Define a constant instead of duplicating this literal "PaletteColorChooserUI warning: unable to instantiate " 4 times.<br>Define a constant instead of duplicating this literal ".visible" 3 times.<br>Define a constant instead of duplicating this literal "style" 3 times.<br>Define a constant instead of duplicating this literal "view.gridSize" 3 times.<br>Define a constant instead of duplicating this literal "objectBoundingBox" 4 times.<br>Define a constant instead of duplicating this literal "lineWrap" 3 times.<br>Define a constant instead of duplicating this literal "value" 3 times.<br>Define a constant instead of duplicating this literal "Palette.Component.segmentPosition" 10 times.<br>Define a constant instead of duplicating this literal "Palette.Component.segmentPosition" 3 times.<br>Define a constant instead of duplicating this literal "Quaqua.Component.visualMargin" 3 times.<br>Define a constant instead of duplicating this literal "stroke" 3 times.<br>Define a constant instead of duplicating this literal "Not allowed." 4 times.<br>Define a constant instead of duplicating this literal "datafile" 3 times.<br>Define a constant instead of duplicating this literal "Class " 3 times.<br>Define a constant instead of duplicating this literal "decorator" 3 times.<br>Define a constant instead of duplicating this literal "recentFiles" 4 times.<br>Define a constant instead of duplicating this literal "Illegal component:" 3 times.<br>Define a constant instead of duplicating this literal "height" 4 times.<br>Define a constant instead of duplicating this literal "UTF-8" 4 times.<br>Define a constant instead of duplicating this literal "JComponent.sizeVariant" 6 times.<br>Define a constant instead of duplicating this literal "Warning ResourceBundleUtil[" 8 times.<br>Define a constant instead of duplicating this literal "Dummy" 3 times.<br>Define a constant instead of duplicating this literal "application.exit.dontSaveOption" 4 times.<br>Define a constant instead of duplicating this literal "first" 3 times.<br>Define a constant instead of duplicating this literal "<html>" 5 times.<br>Define a constant instead of duplicating this literal "application.exit.saveOption" 4 times.<br>Define a constant instead of duplicating this literal "xlink:href" 5 times.<br>Define a constant instead of duplicating this literal "application.exit.cancelOption" 6 times.<br>Define a constant instead of duplicating this literal "fill-opacity" 3 times.<br>Define a constant instead of duplicating this literal "float" 3 times.<br>Define a constant instead of duplicating this literal "Quaqua.OptionPane.destructiveOption" 3 times.<br>Define a constant instead of duplicating this literal " is not accessible" 9 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.app.Labels" 5 times.<br>Define a constant instead of duplicating this literal "clone" 3 times.<br>Define a constant instead of duplicating this literal "rows and cols cannot both be zero" 3 times.<br>Define a constant instead of duplicating this literal "stroke-dasharray" 3 times.<br>Define a constant instead of duplicating this literal "black" 7 times.<br>Define a constant instead of duplicating this literal "\"> in line number " 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 3 times.<br>Define a constant instead of duplicating this literal "color" 4 times.<br>Define a constant instead of duplicating this literal " method on " 3 times.<br>Define a constant instead of duplicating this literal "false" 4 times.<br>Define a constant instead of duplicating this literal "Warning: SVGBezierFigure.findSegment. Figure has noninvertible Transform." 3 times.<br>Define a constant instead of duplicating this literal "style-name" 5 times.<br>Define a constant instead of duplicating this literal "> child " 3 times.<br>Define a constant instead of duplicating this literal ".width" 4 times.<br>Define a constant instead of duplicating this literal "colorSliderModel" 5 times.<br>Define a constant instead of duplicating this literal "propertiesPanelVisible" 3 times.<br>Define a constant instead of duplicating this literal "SVGInputFormat not implemented  fill=" 3 times.<br>Define a constant instead of duplicating this literal "datawrite" 3 times.<br>Define a constant instead of duplicating this literal "):null - not implemented" 4 times.<br>Define a constant instead of duplicating this literal "small" 6 times.<br>Define a constant instead of duplicating this literal "double" 3 times.<br>Define a constant instead of duplicating this literal "false" 3 times.<br>Define a constant instead of duplicating this literal "hideActionText" 5 times.<br>Define a constant instead of duplicating this literal "attribute.figureLink.toolTipText" 3 times.<br>Define a constant instead of duplicating this literal "org.jhotdraw.draw.Labels" 4 times.<br>Define a constant instead of duplicating this literal "enabled" 3 times.<br>Define a constant instead of duplicating this literal "normal" 6 times.<br>Define a constant instead of duplicating this literal "/org/jhotdraw/draw/action/images/attribute.color.colorChooser.png" 3 times.
683,404,3,11, <br>This block of commented-out lines of code should be removed.
686,32,2,11, <br>Move the array designator from the variable to the type.
687,57,3,11, <br>Extract this nested code block into a method.
692,19,3,11, <br>Remove this empty statement.
697,28,2,11, <br>Replace this "switch" statement by "if" statements to increase readability.
699,194,3,11, <br>Replace this usage of System.out or System.err by a logger.
700,30,3,11, <br>Cast one of the operands of this addition operation to a "long".<br>Cast one of the operands of this substraction operation to a "double".<br>Cast one of the operands of this multiplication operation to a "double".<br>Cast one of the operands of this division operation to a "double".<br>Cast one of the operands of this substraction operation to a "float".<br>Cast one of the operands of this addition operation to a "double".
705,154,3,11, <br>Extract the assignment out of this expression.
708,7,3,11, <br>Refactor this method to throw at most one checked exception instead of: java.lang.ClassNotFoundException- java.lang.InstantiationException- java.lang.IllegalAccessException<br>Refactor this method to throw at most one checked exception instead of: java.awt.datatransfer.UnsupportedFlavorException- java.io.IOException<br>Refactor this method to throw at most one checked exception instead of: java.net.MalformedURLException- java.io.FileNotFoundException- java.io.IOException<br>Refactor this method to throw at most one checked exception instead of: java.lang.reflect.InvocationTargetException- java.lang.IllegalAccessException<br>Refactor this method to throw at most one checked exception instead of: java.io.FileNotFoundException- java.io.IOException
709,16,3,11, <br>Reduce the total number of break and continue statement in this loop to use at most one.
710,38,3,11, <br>Add the "@Override" annotation above this method signature
715,4,3,11, <br>Add the missing @Deprecated annotation.
720,15,4,11, <br>Either remove this useless object instantiation of class "FrameHandler" or use it<br>Either remove this useless object instantiation of class "WindowMenuHandler" or use it<br>Either remove this useless object instantiation of class "ToolBarPrefsHandler" or use it<br>Either remove this useless object instantiation of class "OpenRecentMenuHandler" or use it<br>Either remove this useless object instantiation of class "ColorSliderTextFieldHandler" or use it<br>Either remove this useless object instantiation of class "SelectionToolSample" or use it
